date,bengaluru_wholesaleprice,bengaluru_retailprice,bengaluru_volume,bengaluru_rainfall,diesel_price,mumbai_retailprice,chennai_retailprice
2015-01-01,1758,2791,74978,9.0,60.7,2060,2924
2015-02-01,1815,2750,42164,0.0,65.19,2227,3100
2015-03-01,1576,2396,41339,37.7,63.3,1977,2824
2015-04-01,1455,2260,43534,225.8,65.67,1717,2635
2015-05-01,1725,2458,44227,178.4,67.05,1854,2754
2015-06-01,2182,3145,43403,85.3,70.39,2667,3412
2015-07-01,2357,3314,45957,94.1,68.35,3231,3833
2015-08-01,2727,4029,83437,110.0,69.97,6000,6144
2015-09-01,2536,4391,114533,189.8,72.68,6227,9148
2015-10-01,2223,3914,173788,47.0,75.48,5238,7113
2015-11-01,2664,4264,77516,296.4,74.16,4000,4840
2015-12-01,1494,3000,53853,5.1,67.7,2318,3627
2016-01-01,1758,2770,32806,4.4,63.01,2000,2668
2016-02-01,1569,2592,21241,0.0,67.88,1855,2292
2016-03-01,1246,2274,22587,19.9,69.35,1982,1992
2016-04-01,1153,2105,22022,21.9,68.23,1052,2000
2016-05-01,1004,2050,23161,140.6,68.87,1313,2085
2016-06-01,1048,2091,22649,191.3,68.57,1217,2046
2016-07-01,929,2000,21285,209.4,66.41,1512,2058
2016-08-01,863,2000,27800,82.8,68.18,1412,2392
2016-09-01,786,2000,23551,33.2,67.3,1295,2183
2016-10-01,805,2027,28165,11.5,69.74,1643,2504
2016-11-01,1086,2145,25731,1.5,68.02,1500,2860
2016-12-01,910,2040,29308,74.9,68.02,1795,2814
2017-01-01,738,1421,57637,0.2,70.28,1183,2112
2017-02-01,754,1333,35628,0.0,68.46,1064,1974
2017-03-01,685,1238,45279,47.8,66.29,1000,1928
2017-04-01,622,1213,48714,30.4,65.96,1000,2023
2017-05-01,581,1055,49261,241.9,65.96,1000,1728
2017-06-01,713,1279,54196,25.1,65.96,1184,1969
2017-07-01,740,1292,49617,59.0,66.29,1280,2035
2017-08-01,1987,3096,27910,351.8,77.88,2921,3712
2017-09-01,1511,2573,53549,513.8,77.88,2545,3057
2017-10-01,1987,3189,98684,385.7,76.58,3478,4208
2017-11-01,3011,4578,65469,20.6,74.63,4840,5336
2017-12-01,2991,4295,45268,19.7,76.77,5000,5568
2018-01-01,2859,4130,43258,0.0,78.31,4923,5384
2018-02-01,1526,2653,36718,1.8,81.1,2579,3583
2018-03-01,882,1721,52904,47.6,86.37,2227,2400
2018-04-01,608,1290,53721,34.1,85.75,1500,2000
2018-05-01,638,1262,44139,140.4,85.6,1454,1970
2018-06-01,824,1446,69265,29.5,90.51,1362,2362
2018-07-01,1036,1756,55239,94.2,94.54,1728,2750
2018-08-01,1059,1882,55729,70.9,95.26,2000,2742
2018-09-01,967,1722,61700,106.9,94.19,1576,2450
2018-10-01,1112,1800,129269,63.3,95.7,2183,2704
2018-11-01,1071,1805,137285,12.8,104.5,2395,2668
2018-12-01,639,1265,65121,16.2,85.01,1168,2373
2019-01-01,545,1586,61363,0.8,85.01,1000,1965
2019-02-01,491,1035,50224,58.0,85.01,1000,1774
2019-03-01,646,1217,53392,0.0,91.27,1052,1819
2019-04-01,740,1405,48478,41.2,94.79,1433,2017
2019-05-01,796,1513,45229,136.7,101.94,1957,2222
2019-06-01,1123,1900,47577,58.4,87.89,2130,2808
2019-07-01,1113,1859,52246,93.9,87.89,2062,3830
2019-08-01,1577,2625,51765,142.8,87.89,2595,3229
2019-09-01,2620,3978,63188,211.4,87.89,4881,4925
2019-10-01,2463,3825,139206,196.3,87.89,4708,4967
2019-11-01,4771,8367,102924,8.0,87.89,8880,7969
2019-12-01,7792,10604,50300,12.6,87.89,12643,13444
2020-01-01,3280,5500,39474,0.0,78.31,6143,7339
2020-02-01,1966,3384,44473,0.0,81.1,2864,4275
2020-03-01,1494,2638,46386,18.4,86.37,2500,3232
2020-04-01,1494,2638,46386,121.1,85.75,2500,3232
2020-05-01,1494,2638,46386,128.6,85.6,1500,3232
2020-06-01,850,1436,45336,114.8,90.51,2200,3232
2020-07-01,825,1400,14927,158.3,94.54,2808,3232
